Year,Common #,Indi. #,Risk factor,Formation,Type,Journal,Short reference,Full reference,Link without href,Predictability.in.OP,Coverage,New Journal,notes
2013,NA,202,Bad private information,"Decomposing the PIN measure of Easley, Hvidkjaer and O'Hara (2002) into two elements that reflect informed trading on good news and bad news",Individual microstructure,Working Paper,"Brennan, Huh and Subrahmanyam (2013)","Brennan, Michael, Sahn-Wook Huh and Avanidhar Subrahmanyam, 2013, The pricing of good and bad private information in the cross-section of expected stock returns, Working Paper, University of California at Los Angeles.",http://papers.ssrn.com/sol3/papers.cfm?abstract_id=2199723,1_clear,zz missing,MS,Table 7 right panel has PIN _B results which indicate predictability for small firms
2012,101,NA,Consumption volatility,Filtered consumption growth volatility from a Markov regime-switching model based on historical consumption data,Common macro,Journal of Finance,Boguth and Kuehn (2012),"Boguth, Oliver and Lars-Alexander Kuehn, 2012, ``Consumption volatility risk"", The Journal of Finance.",http://papers.ssrn.com/sol3/papers.cfm?abstract_id=1336712##,1_clear,zz missing,NA,NA
2009,81,NA,Illiquidity,Estimated using structural formula in line with Kyle's (1985) lambda,Common microstructure,Review of Financial Studies,"Chordia, Huh and Subrahmanyam (2009)","Chordia, Taurn, Sahn-Wook Huh and Avanidhar Subrahmanyam, 2009, ``Theory-based illiquidity and asset pricing"", Review of Financial Studies 22, 3630-3668.",http://rfs.oxfordjournals.org/content/22/9/3629.full.pdf+html,1_clear,zz missing,NA,"combines Nanalysts, idiovol, and std volume  from theory.  Maybe we should include this."
2006,55,NA,Investor sentiment,Composite sentiment index based on various sentiment measures,Common behavioral,Journal of Finance,Baker and Wurgler (2006),"Baker, Malcolm and Jeffrey Wurgler, 2006, ``Investor sentiment and the cross-section of stock returns"", Journal of Finance 61, 1645-1680.",http://www.jstor.org/stable/pdfplus/3874723.pdf,1_clear,zz missing,NA,NA
2010,85,NA,Market volatility and jumps,Estimated based on S&P index option returns,Common financial,Working Paper,"Cremers, Halling and Weinbaum (2010)","Cremers, Martijn, Michael Halling and David Weinbaum, 2010, ``In search of aggregate jump and volatility risk in the cross-section of stock returns"", Working Paper.",http://www.rhsmith.umd.edu/feaconference/docs/Session4HallingInSearchofAggregate.pdf,z3_harddata,zz missing,JF,Might consider specialized data.  Uses CME S&P Futures daily closing prices
2009,80,NA,Takeover likelihood,Estimated via a logit model of regressing ex-post acquisition indicator on various firm- and industry-level accounting variables,Common financial,Review of Financial Studies,"Cremers, Nair and John (2009)","Cremers, K. J. Martijn, Vinay B. Nair and Kose John, 2009, ``Takeovers and the cross-section of returns'', Review of Financial Studies 22, 1410-1445.",http://rfs.oxfordjournals.org/content/22/4/1409.full.pdf+html,z3_harddata,zz missing,NA,M&A data
2013,113,NA,Trend signal,"Return on a zero-investment portfolio long in past winners and short in past losers based on short-term, intermediate-term and long-term stock price trends",Common other,Working Paper,Han and Zhou (2013),"Han, Yufeng and Guofu Zhou, 2013, Trend factor: A new determinant of cross-section stock returns, Working Paper, University of Colorado Denver",http://papers.ssrn.com/sol3/papers.cfm?abstract_id=2182667,1_clear,zz missing,JFE,https://www.sciencedirect.com/science/article/pii/S0304405X16301271
1997,NA,NA,Earnings management likelihood,Earnings management likelihood obtained by regressiong realized  violators of Generally Accepted Accounting Principles on firm characteristics,Individual accounting,Journal of Accounting and Public Policy,Beneish (1997),"Beneish, M.D., 1997, Detecting GAAP violation: Implications for assessing earnings management among firms with extreme financial performance, Journal of Accounting and Public Policy 16, 271-309.",http://www.sciencedirect.com/science/article/pii/S0278425497000239,1_clear,zz missing,NA,"based on abstract, can't access paper"
1986,NA,NA,Transaction costs,THEORY,Common microstructure,Journal of Financial Economics,Amihud and Mendelson (1986),"Amihud, Yakov and Haim Mendelson, 1986, ``Asset pricing and the bid-ask spread"", Journal of Financial Economics 17, 223-249.",http://www.sciencedirect.com/science/article/pii/034405X86900656,2_likely,done!,NA,NA
2012,102,NA,Market skewness,Higher moments of market returns estimated from daily index options,Common financial,Journal of Financial Economics,"Chang, Christoffersen and Jacobs (2012)","Chang, Bo Young, Peter Christoffersen and Kris Jacobs, 2012, ``Market skewness risk and the cross section of stock returns"", Journal of Financial Economics.",http://www.sciencedirect.com/science/article/pii/S0304405X12001523?v=s5,2_likely,zz missing,NA,Average return t-stat is -1.88 (Tab 3).
2005,NA,68,Patent citation,Change of patent citation impact deflated by average total assets,Individual other,"Journal of Accounting, Auditing & Finance",Gu (2005),"Gu, Feng, 2005, Innovation, future earnings, and market efficiency, Journal of Accounting, Auditing and Finance 20, 385-418.",http://jaf.sagepub.com/content/20/4/385.full.pdf+html,2_likely,similar,NA,citationsRD is similar.  Table 8 shows marginal significance in regressions
2009,NA,118,Information revelation,Monthly estimate of the daily correlation between absolute returns and dollar volume,Individual microstructure,Working Paper,Gokcen (2009),"Gokcen, Umut, 2009, Information revelation and expected stock returns, Working Paper, Boston College.",http://papers.ssrn.com/sol3/papers.cfm?abstract_id=1477066,2_likely,zz missing,WP,"Tab 4: raw returns are marginally significant, and paper is unclear about re-estimation of rho"
2009,NA,121,Local unemployment,Relative state unemployment,Individual other,Working Paper,Korniotis and Kumar (2009),"Korniotis, George and Alok Kumar, 2009, Long Georgia, short Colorado? The geography of return predictability, Working Paper, Board of Governors of the Federal Reserve System.",http://papers.ssrn.com/sol3/papers.cfm?abstract_id=1328973,2_likely,zz missing,JF,"Used in part of difficult to estimate model.  Published as ""State-level Business Cycles..."""
2009,NA,122,Local housing collateral,State-level housing collateral,Individual other,Working Paper,Korniotis and Kumar (2009),"Korniotis, George and Alok Kumar, 2009, Long Georgia, short Colorado? The geography of return predictability, Working Paper, Board of Governors of the Federal Reserve System.",http://papers.ssrn.com/sol3/papers.cfm?abstract_id=1328973,2_likely,zz missing,JF,"Used in part of difficult to estimate model.  Published as ""State-level Business Cycles..."""
1967,NA,1,Total volatility,Individual stock volatility,Individual financial,Yale Economic Essays,Douglas (1967),"Douglas, G.W., 1967,  ``Risk in the equity markets: An empirical appraisal of market efficiency"", Yale Economic Essays 9, 3-48.",http://yufind.library.yale.edu/yufind/Record/3283436,no_evidence,done!,WP,"can't find the paper, but sounds like idio vol.  Maybe is just a guess"
2007,NA,89,Trader composition,Fraction of total trading volume of a stock from institutional trading,Individual microstructure,Working Paper,Shu (2007),"Shu, Tao, 2007,  ``Trader composition, price efficiency, and the cross-section of stock returns"", Working Paper.",http://www.finance.eller.arizona.edu/documents/seminars/2006-7/tshu.jmp01-07.pdf,1_clear,zz missing,JBFA,NA
2007,NA,93,Ticker symbol,Creativity in stocks' ticker symbols,Individual other,Quarterly Review of Economics & Finance,"Head, Smith and Wilson (2007)","Head, Alex, Gary Smith and Julia Wilson, 2007, Would a stock by any other ticker smell as sweet? Quarterly Review of Economics & Finance 49, 551-561.",http://www.sciencedirect.com/science/article/pii/S1062976907000865,no_evidence,zz missing,NA,marginally significant using daily data
2010,NA,131,Firm information quality,"Firm information quality proxied by analyst forecasts, idiosyncratic volatility and standard errors of beta estimates",Individual financial/accounting,Working Paper,"Armstrong, Banerjee and Corona (2010)","Armstrong, Chris, Snehal Banerjee and Carlos Corona, 2010, Information quality and the cross-section of expected returns, Working Paper, University of Pennsylvania.",http://recanati-bs.tau.ac.il/Eng/_Uploads/dbsAttachedFiles/Snehal_Banerjee.pdf,no_evidence,zz missing,RFS,"Mainly theory.  Tab 4 has new empirical results, but uses regressors with look ahead bias and requires controls.  Not clear if it works in our setting."
2011,NA,NA,Projected earnings accuracy,Skilled analysts identified by both past earnings forecasts accuracy and skills,Individual accounting,Working Paper,"Hess, Kreutzmann and Pucker (2011)","Hess, Dieter, Daniel Kreutzmann and Oliver Pucker, Projected earnings accuracy and profitability of stock recommendations, Working Paper, University of Cologne.",http://papers.ssrn.com/sol3/papers.cfm?abstract_id=1786608&download=yes,no_evidence,zz missing,WP,Not long-short.
2007,NA,91,Firm productivity,Firm productivity measured by returns on invested capital,Individual accounting,Working Paper,Brown and Rowe (2007),"Brown, David and Bradford Rowe, 2007, The productivity premium in equity returns, Working Paper, University of Wisconsin, Madison.",http://papers.ssrn.com/sol3/papers.cfm?abstract_id=993467,4_not,done!,WP,NA
1997,NA,27,Earning forecasts uncertainty,Standard deviation of earnings forecasts,Individual accounting,Journal of Financial Research,Ackert and Athanassakos (1997),"Ackert, L., and G. Athanassakos, 1997, Prior uncertainty, analyst bias, and subsequent abnormal returns, Journal of Financial Research 20, 263-273.",http://www.bengrahaminvesting.ca/Research/Papers/Athanassakos/Prior_Uncertainty.pdf,no_evidence,done!,NA,"Tiny sample of 170 firms for 10 years.  We cite Diether Malloy Scherbina 2002, who get the opposite sign."
2011,NA,161,Real asset liquidity,Number of potential buyers for a firm's assets from within the industry,Individual microstructure,Working Paper,Ortiz-Molina and Phillips (2011),"Ortiz-Molina, Hernan and Gordon Phillips, 2011, Real asset liquidity and the cost of capital, Working Paper, University of British Columbia.",https://msbfile03.usc.edu/digitalmeasures/gordonph/intellcont/AssetLiquidity-1.pdf,no_evidence,done!,NA,NA
1988,NA,NA,Long-term growth forecasts,Long-term growth forecasts proxied by the five-year earnings per share growth rate forecasts,Individual accounting,Financial Analyst Journal,Bauman and Dowen (1988),"Bauman, Scott and Richard Dowen, 1988, Growth projections and common stock returns, Financial Analyst Journal, July/August.",CFA institute,no_evidence,done!,NA,"Ridiculously short sample, no statistical signifinace.  Our version cites La Porta 1996, who has a proper sample and the opposite sign."
NA,64,NA,Capital stock,Quarterly capital stock interpolated from annual data,Common macro,Journal of Financial Economics,Balvers and Huang (2007),"Balvers, Ronald J. and Dayong Huang, 2007, ``Productivity-based asset pricing: Theory and evidence"", Journal of Financial Economics 2007, 405-445.",http://www.sciencedirect.com/science/article/pii/S0304405X07001110#,no_evidence,no cross sectional predictability,NA,Factor model tests and predicting mkt and hml only
2007,63,NA,Productivity,Productivity level as in King and Rebelo (2000),Common macro,Journal of Financial Economics,Balvers and Huang (2007),"Balvers, Ronald J. and Dayong Huang, 2007, ``Productivity-based asset pricing: Theory and evidence"", Journal of Financial Economics 2007, 405-445.",http://www.sciencedirect.com/science/article/pii/S0304405X07001110#,no_evidence,no cross sectional predictability,NA,Factor model tests and predicting mkt and hml only
2004,43,NA,Return reversals at the style level,Zero-investment portfolios sorted based on past return performance at the style level,Common other,Journal of Financial Economics,Teo and Woo (2004),"Teo, Melvyn and Sung-Jun Woo, 2004, ``Style effects in the cross-section of stock returns"", Journal of Financial Economics 74, 367-398.",http://www.sciencedirect.com/science/article/pii/S0304405X04000753#,no_evidence,no cross sectional predictability,NA,NA
NA,NA,NA,Corporate bond return,Index of long-term Aa utility bonds with deferred calls returns,Common financial,Journal of Finance,"Fogler, John and Tipton (1981)","Fogler, H. Russell, Kose John and James Tipton, 1981, ``Three factors, interest rate differentials and stock groups"", Journal of Finance 36 323-335.",www.jstor.org/stable/pdfplus/2327014.pdf,no_evidence,no cross sectional predictability,NA,NA
NA,NA,NA,Treasury bond return,3-month US Treasury bill return,Common financial,Journal of Finance,"Fogler, John and Tipton (1981)","Fogler, H. Russell, Kose John and James Tipton, 1981, ``Three factors, interest rate differentials and stock groups"", Journal of Finance 36 323-335.",www.jstor.org/stable/pdfplus/2327014.pdf,no_evidence,no cross sectional predictability,NA,NA
2008,NA,104,Goodwill impairment,Buyers' overpriced shares at acquisition,Individual accounting,Accounting Review,Gu and Lev (2008),"Gu, Feng and Baruch Lev, 2008, Overpriced shares, ill-advised acquisitions, and goodwill impairment, Accounting Review 86, 1995-2022.",http://www.aaajournals.org/doi/abs/10.2308/accr-10131,no_evidence,not predictive,NA,NA
2012,95,NA,Average variance of equity returns,Decomposition of market variance into an average correlation component and an average variance component,Common financial,Review of Financial Studies,Chen and Petkova (2012),"Chen, Zhanhui and Ralitsa Petkova, 2012, ``Does idiosyncratic volatility proxy for risk exposure?"", Review of Financial Studies 25, 2746-2787.",http://rfs.oxfordjournals.org/content/25/9/2745.full.pdf+html,no_evidence,not predictive,NA,NA
2009,77,NA,Cash flow covariance with aggregate consumption,Cash flow covariance with aggregate consumption,Common macro,Journal of Finance,Da (2009),"Da, Zhi, 2009, ``Cash flow, consumption risk, and the cross-section of stock returns"", Journal of Finance 64, 923-956.",http://onlinelibrary.wiley.com/doi/10.1111/j.1540-6261.2009.01453.x/pdf,no_evidence,not predictive,NA,NA
NA,78,NA,Cash flow duration,Cash flow duration sensitivity to aggregate consumption,Common macro,Journal of Finance,Da (2009),"Da, Zhi, 2009, ``Cash flow, consumption risk, and the cross-section of stock returns"", Journal of Finance 64, 923-956.",http://onlinelibrary.wiley.com/doi/10.1111/j.1540-6261.2009.01453.x/pdf,no_evidence,not predictive,NA,NA
2004,37,NA,Cash flow news,News about future market cash flow,Common financial,American Economic Review,Campbell and Vuolteenaho (2004),"Campbell, John Y. and Tuomo Vuolteenaho, 2004, ``Bad beta, good beta"", American Economic Review 94, 1249-1275.",http://www.aeaweb.org/articles.php?doi=10.1257/0002828043052240,no_evidence,not predictive,NA,NA
NA,6,NA,Change in expected inflation,Change in expected inflation as defined in Fama and Gibbons (1984),Common macro,Journal of Financial Economics,"Chan, Chen and Hsieh (1985)","Chan, K. C., Nai-fu Chen and David A. Hsieh, 1985, ``An exploratory investigation of the firm size effect"", Journal of Financial Economics 14, 451-471.",http://www.sciencedirect.com/science/article/pii/0304405X8590008X,no_evidence,not predictive,NA,NA
2001,NA,NA,Consumption growth,Per capita real consumption growth rate,Common macro,Journal of Political Economy,Lettau and Ludvigson (2001),"Lettau, Martin and Sydney Ludvigson, 2001,  ``Resurrecting the (C)CAPM: A cross-sectional test when risk premia are time-varying"", Journal of Political Economy 109, 1238-1287.",http://www.jstor.org/stable/pdfplus/10.1086/323282.pdf,no_evidence,not predictive,NA,NA
1989,12,NA,Consumption growth,Per capita real consumption growth,Common macro,Journal of Finance,"Breeden, Gibbons and Litzenberger (1989)","Breeden, Douglas T., Michael R. Gibbons and Robert H. Litzenberger, ``Empirical Test of the Consumption-Oriented CAPM"", Journal of Finance 44, 231-262.",http://www.jstor.org/stable/pdfplus/2328589.pdf,no_evidence,not predictive,NA,NA
NA,31,NA,Consumption-wealth ratio,Proxied by a weighted average of human and nonhuman wealth,Common macro,Journal of Political Economy,Lettau and Ludvigson (2001),"Lettau, Martin and Sydney Ludvigson, 2001,  ``Resurrecting the (C)CAPM: A cross-sectional test when risk premia are time-varying"", Journal of Political Economy 109, 1238-1287.",http://www.jstor.org/stable/pdfplus/10.1086/323282.pdf,no_evidence,not predictive,NA,NA
NA,8,NA,Credit premium,"Risk premium measured as difference in return between ``under Baa"" bond portfolio and long-term government bond portfolio",Common financial,Journal of Financial Economics,"Chan, Chen and Hsieh (1985)","Chan, K. C., Nai-fu Chen and David A. Hsieh, 1985, ``An exploratory investigation of the firm size effect"", Journal of Financial Economics 14, 451-471.",http://www.sciencedirect.com/science/article/pii/0304405X8590008X,no_evidence,not predictive,NA,NA
NA,NA,NA,Credit risk,Difference in return between long-term corporate bond and long-term government bond,Common financial,Journal of Financial Economics,Fama and French (1993),"Fama, Eugene F. and Kenneth R. French, 1993, ``Common risk factors in the returns on stocks and bonds"", Journal of Financial Economics 33, 3-56.",http://www.sciencedirect.com/science/article/pii/0304405X93900235#,no_evidence,not predictive,NA,NA
NA,38,NA,Discount rate news,News about future market discount rate,Common financial,American Economic Review,Campbell and Vuolteenaho (2004),"Campbell, John Y. and Tuomo Vuolteenaho, 2004, ``Bad beta, good beta"", American Economic Review 94, 1249-1275.",http://www.aeaweb.org/articles.php?doi=10.1257/0002828043052240,no_evidence,not predictive,NA,NA
2006,57,NA,Durable and nondurable consumption growth,Durable and nondurable consumption growth,Common macro,Journal of Finance,Yogo (2006),"Yogo, Motohiro, 2006, ``A consumption-based explanation of expected stock returns"", Journal of Finance 61, 539-580.",http://onlinelibrary.wiley.com/doi/10.1111/j.1540-6261.2006.00848.x/pdf,no_evidence,not predictive,NA,NA
2006,48,NA,Financing frictions,Default premium,Common financial,Review of Financial Studies,"Gomes, Yaron and Zhang (2006)","Gomes, Joao F., Amir Yaron and Lu Zhang, 2006, ``Asset pricing implications of firms' financing constraints"", Review of Financial Studies 19, 1321-1356.",http://www.jstor.org/stable/pdfplus/4123475.pdf,no_evidence,not predictive,NA,NA
2011,92,NA,Garbage growth,Realized annual garbage growth,Common macro,Journal of Finance,Savov (2011),"Savov, Alexi, 2011, Asset pricing with garbage, Journal of Finance 66, 177-201.",http://onlinelibrary.wiley.com/doi/10.1111/j.1540-6261.2010.01629.x/full,no_evidence,not predictive,NA,NA
1993,NA,NA,High order market and bond return,High order equity index returns and bond returns,Common financial,Journal of Finance,Bansal and Viswanathan (1993),"Bansal, Ravi and S.Viswanathan, 1993, ``No arbitrage and arbitrage pricing: a new approach"", Journal of Finance 48, 1231-1262.",http://www.jstor.org/stable/pdfplus/2329037.pdf,no_evidence,not predictive,NA,NA
2008,70,NA,Investment growth,Return on a zero-investment portfolio long in low investment growth firms and short in high investment growth firms,Common financial,Review of Financial Studies,Xing (2008),"Xing, Yuhang, 2008, ``Interpreting the value effect through the Q-Theory: An empirical investigation"", Review of Financial Studies 21, 1767-1795.",http://www.jstor.org/stable/pdfplus/40056867.pdf,no_evidence,not predictive,NA,NA
2005,45,NA,Long run consumption,Cash flow risk measured by cointegration residual with aggregate consumption,Common macro,Journal of Finance,"Bansal, Dittmar and Lundblad (2005)","Bansal, Ravi, Robert F. Dittmar and Christian T. Lundblad, 2005, ``Consumption, dividends, and the cross section of equity returns'', Journal of Finance 60, 1639-1672.",http://www.jstor.org/stable/pdfplus/3694850.pdf,no_evidence,not predictive,NA,NA
2005,44,NA,Long-horizon consumption growth,Three-year consumption growth rate,Common macro,Journal of Political Economy,Parker and Julliard (2005),"Parker, Jonathan A. and Christian Julliard, 2005, ``Consumption risk and the cross section of expected returns"", Journal of Political Economy 113, 186-222.",http://bbs.cenet.org.cn/uploadimages/200531610275968043.pdf,no_evidence,not predictive,NA,NA
2002,NA,NA,Market return,Equity index return,Common financial,Journal of Finance,Dittmar (2002),"Dittmar, Robert F., 2002, ``Nonlinear pricing kernels, kurtosis preference, and evidence from the cross section of equity returns"", Journal of Finance 57, 369-403.",http://www.jstor.org/stable/pdfplus/2697843.pdf,no_evidence,not predictive,NA,NA
1985,NA,NA,Market return,Equity index return,Common financial,Journal of Financial Economics,"Chan, Chen and Hsieh (1985)","Chan, K. C., Nai-fu Chen and David A. Hsieh, 1985, ``An exploratory investigation of the firm size effect"", Journal of Financial Economics 14, 451-471.",http://www.sciencedirect.com/science/article/pii/0304405X8590008X,no_evidence,not predictive,NA,NA
1993,NA,NA,Market return,Equity index return,Common financial,Journal of Financial Economics,Fama and French (1993),"Fama, Eugene F. and Kenneth R. French, 1993, ``Common risk factors in the returns on stocks and bonds"", Journal of Financial Economics 33, 3-56.",http://www.sciencedirect.com/science/article/pii/0304405X93900235#,no_evidence,not predictive,NA,NA
NA,42,NA,Maximum Sharpe ratio portfolio,Maximum Sharpe ratio portfolio extracted from a time-series model of bond yields and expected inflation,Common financial,Journal of Finance,"Brennan, Wang and Xia (2004)","Brennan, Michael J., Ashley W. Wang and Yihong Xia, 2004, ``Estimation and test of a simple model of intertemporal capital asset pricing"", Journal of Finance 59, 1743-1775.",http://www.jstor.org/stable/pdfplus/3694877.pdf,no_evidence,not predictive,NA,NA
1996,24,NA,Money growth,"M2 or M3 minus currency, divided by total population",Common macro,Journal of Finance,"Chan, Foresi and Lang (1996)","Chan, K.C., Silverio Foresi and Larry H.P. Lang, 1996, ``Does money explain returns? Theory and empirical analysis"", Journal of Finance 51, 345-361.",http://www.jstor.org/stable/pdfplus/2329312.pdf,no_evidence,not predictive,NA,NA
1997,NA,NA,Nonlinear functions of consumption growth,Low order orthonormal polynomials of current and future consumption growth,Common macro,Journal of Finance,Chapman (1997),"Chapman, David A., 1997, ``Approximating the asset pricing kernel"", Journal of Finance 52, 1383-1410.",http://www.jstor.org/stable/pdfplus/2329440.pdf,no_evidence,not predictive,NA,NA
2004,41,NA,Real interest rate,Real interest rates extracted from a time-series model of bond yields and expected inflation,Common financial,Journal of Finance,"Brennan, Wang and Xia (2004)","Brennan, Michael J., Ashley W. Wang and Yihong Xia, 2004, ``Estimation and test of a simple model of intertemporal capital asset pricing"", Journal of Finance 59, 1743-1775.",http://www.jstor.org/stable/pdfplus/3694877.pdf,no_evidence,not predictive,NA,NA
1996,25,NA,Returns on physical investment,Inferred from investment data via a production function,Common macro,Journal of Political Economy,Cochrane (1996),"Cochrane, John H., 1996,  ``A cross-sectional test of an investment-based asset pricing model"", Journal of Political Economy 104, 572-621.",http://faculty.chicagobooth.edu/john.cochrane/research/papers/cross%20sectional%20test%20%28jpe%29.pdf,no_evidence,not predictive,NA,NA
NA,32,NA,Squared labor income growth,Squared smoothed labor income growth rate,Common financial,Journal of Finance,Dittmar (2002),"Dittmar, Robert F., 2002, ``Nonlinear pricing kernels, kurtosis preference, and evidence from the cross section of equity returns"", Journal of Finance 57, 369-403.",http://www.jstor.org/stable/pdfplus/2697843.pdf,no_evidence,not predictive,NA,NA
NA,NA,NA,Squared market return,Squared equity index return,Common financial,Journal of Finance,Dittmar (2002),"Dittmar, Robert F., 2002, ``Nonlinear pricing kernels, kurtosis preference, and evidence from the cross section of equity returns"", Journal of Finance 57, 369-403.",http://www.jstor.org/stable/pdfplus/2697843.pdf,no_evidence,not predictive,NA,NA
1994,20,NA,Tax rate for capital gains,Short-term capital gains tax rate,Common accounting,Journal of Finance,Bossaerts and Dammon (1994),"Bossaert, Peters and Robert M. Dammon, 1994, ``Tax-induced intertemporal restrictions on security returns"", Journal of Finance 49, 1347-1371.",http://www.jstor.org/stable/pdfplus/2329189.pdf,no_evidence,not predictive,NA,NA
NA,21,NA,Tax rate for dividend,Dividend tax rate,Common accounting,Journal of Finance,Bossaerts and Dammon (1994),"Bossaert, Peters and Robert M. Dammon, 1994, ``Tax-induced intertemporal restrictions on security returns"", Journal of Finance 49, 1347-1371.",http://www.jstor.org/stable/pdfplus/2329189.pdf,no_evidence,not predictive,NA,NA
NA,9,NA,Term structure,Yield curve slope measured as difference in return between long-term government bond and 1-month Treasury bill,Common financial,Journal of Financial Economics,"Chan, Chen and Hsieh (1985)","Chan, K. C., Nai-fu Chen and David A. Hsieh, 1985, ``An exploratory investigation of the firm size effect"", Journal of Financial Economics 14, 451-471.",http://www.sciencedirect.com/science/article/pii/0304405X8590008X,no_evidence,not predictive,NA,NA
NA,7,NA,Unanticipated inflation,Realized minus expected inflation,Common macro,Journal of Financial Economics,"Chan, Chen and Hsieh (1985)","Chan, K. C., Nai-fu Chen and David A. Hsieh, 1985, ``An exploratory investigation of the firm size effect"", Journal of Financial Economics 14, 451-471.",http://www.sciencedirect.com/science/article/pii/0304405X8590008X,no_evidence,not predictive,NA,NA
2008,71,NA,Mean consumption growth,Across-state mean consumption growth rate,Common macro,Review of Financial Studies,Korniotis (2008),"Korniotis, George M., 2008, ``Habit formation, incomplete markets, and the significance of regional risk for expected returns"", Review of Financial Studies 21, 2139-2172.",http://www.jstor.org/stable/pdfplus/40056879.pdf,z1_theory,not cross section,NA,NA
NA,73,NA,Mean habit growth,Across-state mean habit growth rate,Common macro,Review of Financial Studies,Korniotis (2008),"Korniotis, George M., 2008, ``Habit formation, incomplete markets, and the significance of regional risk for expected returns"", Review of Financial Studies 21, 2139-2172.",http://www.jstor.org/stable/pdfplus/40056879.pdf,z1_theory,not cross section,NA,NA
NA,72,NA,Variance of consumption growth,Across-state consumption growth variance,Common macro,Review of Financial Studies,Korniotis (2008),"Korniotis, George M., 2008, ``Habit formation, incomplete markets, and the significance of regional risk for expected returns"", Review of Financial Studies 21, 2139-2172.",http://www.jstor.org/stable/pdfplus/40056879.pdf,z1_theory,not cross section,NA,NA
NA,74,NA,Variance of habit growth,Across-state habit growth variance,Common macro,Review of Financial Studies,Korniotis (2008),"Korniotis, George M., 2008, ``Habit formation, incomplete markets, and the significance of regional risk for expected returns"", Review of Financial Studies 21, 2139-2172.",http://www.jstor.org/stable/pdfplus/40056879.pdf,z1_theory,not cross section,NA,NA
1979,NA,NA,Aggregate real consumption,THEORY,Common macro,Journal of Financial Economics,Breeden (1979),"Breeden, Douglas T., 1979, ``An intertemporal asset pricing model with stochastic consumption and investment opportunities"", Journal of Financial Economics 7, 265-296.",http://www.sciencedirect.com/science/article/pii/0304405X79900163,z1_theory,not empirical,NA,NA
1986,NA,NA,Expected inflation,THEORY,Common macro,Journal of Finance,Stulz (1986),"Stulz, Rene M., 1986, ``Asset Pricing and Expected Inflation"", Journal of Finance 41, 209-223.",http://www.jstor.org/stable/pdfplus/2328353.pdf,z1_theory,not empirical,NA,NA
2010,NA,NA,Exposure to financial distress costs,THEORY,Individual financial,Journal of Financial Economics,George and Hwang (2010),"George, Thomas and Chuan-yang Hwang, 2010, A resolution of the distress risk and leverage puzzles in the cross section of stock returns, Journal of Financial Economics  96, 56-79.",http://www.sciencedirect.com/science/article/pii/S0304405X09002335,z1_theory,not empirical,NA,NA
2009,NA,NA,Financial constraints,THEORY,Common financial/macro,Journal of Finance,"Livdan, Sapriza and Zhang (2009)","Livdan, Dmitry, Horacio Sapriza and Lu Zhang, 2009, ``Financially constrained stock returns"", Journal of Finance64, 1827-1862.",http://onlinelibrary.wiley.com/doi/10.1111/j.1540-6261.2009.01481.x/pdf,z1_theory,not empirical,NA,NA
1983,NA,NA,Foreign exchange rate change,THEORY,Common financial,Journal of Finance,Adler and Dumas (1983),"Adler, Michael and Bernard Dumas, 1983, ``International portfolio choice and corporation finance: A synthesis"", Journal of Finance 38, 925-984.",http://www.jstor.org/stable/10.2307/2328091,z1_theory,not empirical,NA,NA
1973,NA,NA,High order market return,THEORY,Common financial,Journal of Financial and Quantitative Analysis,Rubinstein (1973),"Rubinstein, Mark, 1973, ``The fundamental of parameter-preference security valuation"", Journal of Financial and Quantitative Analysis 8, 61-69.",http://www. Jstor.org/stable/10.2307/2329748,z1_theory,not empirical,NA,NA
1982,NA,NA,Individual consumer's wealth,THEORY,Common financial,Journal of Business,Constantinides (1982),"Constantinides, George, 1982, ``Intertemporal asset pricing with heterogeneous consumers and without demand aggregation"", Journal of Business 55, 253-267.",http://www.jstor.org/stable/10.2307/2352702,z1_theory,not empirical,NA,NA
1974,NA,NA,Individual investor resources,THEORY,Common financial,Journal of Financial Economics,Rubinstein (1974),"Rubinstein, Mark, 1973, ``An aggregation theorem for securities markets"", Journal of Financial Economics 1, 225-244.",http://www.sciencedirect.com/science/article/pii/0304405X74900191,z1_theory,not empirical,NA,NA
2012,NA,NA,Inter-cohort consumption differences,THEORY,Common macro,Journal of Financial Economics,"Garleanu, Kogan and Panageas (2012)","Garleanu, Nicolae, Leonid Kogan and Stavros Panageas, 2012, ``Displacement risk and asset returns"", Journal of Financial Economics 105, 491-510.",http://www.sciencedirect.com/science/article/pii/S0304405X12000621#,z1_theory,not empirical,NA,NA
1985,NA,NA,Investment opportunity change,THEORY,Common financial,Econometrica,"Cox, Ingersoll and Ross (1985)","Cox, John, Jonathan Ingersoll and Stephen Ross, 1985, ``A theory of the term structure of interest rates"", Econometrica 53, 385-407.",http://www.jstor.org/stable/10.2307/1911242,z1_theory,not empirical,NA,NA
1978,NA,NA,Marginal rate of substitution,THEORY,Common macro,Econometrica,Lucas (1978),"Lucas, Robert E., 1978, ``Asset prices in an exchange economy"", Econometrica 46, 1429-1445.",http://www.hss.caltech.edu/~pbs/expfinance/Readings/Lucas1978.pdf,z1_theory,not empirical,NA,NA
1972,NA,NA,Relative prices of consumption goods,THEORY,Common macro,Journal of Finance,Heckerman (1972),"Heckerman, Donald G., 1972, ``Portfolio selection and the structure  of capital asset prices when relative prices of consumption goods may change"", Journal of Finance 27, 47-60.",http://www.jstor.org/stable/2978502.pdf,z1_theory,not empirical,NA,NA
